,x,y
MMM,0.5339212782406394,-7.564032711279866
ABT,-1.035154690757987,17.11375187597778
ABBV,-12.276518030720116,1.4153224937940958
ACN,9.126670062511847,24.094450067652474
ATVI,-22.584707714016687,3.9505492197297154
ADBE,-2.733032015488361,21.95858249801618
ADT,-17.92908103645567,-17.497266830299065
AAP,-13.188994141122693,-7.5261745934105475
AES,15.369472852109977,-16.47666980087795
AET,-11.667008056652893,8.015661737014902
AMG,25.765076881475142,19.57429011387273
AFL,13.392354775048362,1.7931851440052438
A,16.168796074248238,16.535672684336333
GAS,-32.18627748443395,-18.279647524034978
APD,13.83790279987742,-1.6671308325652172
ARG,-7.789851699234527,-7.330855073510776
AKAM,-12.82711936918985,4.594066394429598
AA,4.484379602776772,-21.784000103996455
ALXN,-10.387029616216806,2.627912229693117
ALLE,13.512263529833536,25.649757327696612
AGN,-15.776688296287917,3.773140000838388
ADS,-16.119293182548983,-2.239588077049568
ALL,15.419445592994748,1.9098270741425583
GOOGL,-27.7329877384252,5.359852389945247
GOOG,-27.780868288885884,5.12834669818623
MO,-28.647115658563468,-7.090411545817348
AMZN,-28.724090619305343,1.9989536222991982
AEE,-35.427332961733676,-13.865915798036687
AAL,-0.2578525802805655,10.67378801818078
AEP,-37.0301326381183,-12.211907428390687
AXP,-18.860525298261248,-16.124895580937135
AIG,22.001752299093525,21.09906941556716
AMT,9.607717847792518,28.013921807541735
AMP,24.039113114601186,18.22641022906953
ABC,-16.902033462953078,2.7604230287955205
AME,23.036667392849264,12.719800631580918
AMGN,-3.4511693449638554,14.766986776016992
APH,18.074198293969488,10.945904100079694
APC,13.131024211165368,-25.57817383487769
ADI,6.301674901826696,3.5606710536784125
ANTM,-12.16318763987914,7.360774656478155
AON,1.120803893542564,-4.925249928038595
APA,12.683510235303249,-24.651583231499906
AIV,1.8618993630725542,32.387609393919284
AAPL,9.568519685527463,9.783100583857454
AMAT,14.879764454021746,13.92995125499059
ADM,14.159165015288076,-12.989287617740617
AIZ,-24.84431181924125,-9.419920870061343
T,-1.814361336205142,-6.033794266732617
ADSK,3.6816938782104254,8.501577525658439
ADP,17.903045603276848,23.711327091512256
AN,2.6024732242196515,-13.81308923906131
AZO,-24.052497060881525,4.288631597781576
AVGO,-0.8423582613609025,3.0200143677002895
AVB,1.394155967256184,31.59407365673769
AVY,22.239523094637697,9.77644778491415
BHI,9.974421178032307,-24.08878644777207
BLL,8.208796944590663,-4.28305755974296
BAC,28.864353310040688,14.503696986904819
BCR,-18.780695261224906,6.897791697212645
BXLT,-22.94031993663569,-16.8843608936996
BAX,1.1174223289026617,20.30060990995623
BBT,31.815672757920257,14.527322759013174
BDX,-6.992077539970162,18.107175069418734
