Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,x,y
MMM,3M Company,Industrials,158.99,2.82,20.97,7.58,19.22,134.0,170.5,96.2,8.5,3.14,8.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM,0.5339212782406394,-7.564032711279867
ABT,Abbott Laboratories,Health Care,39.63,2.66,13.54,2.93,14.15,36.0,51.74,59.12,4.81,2.87,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT,-1.0351546907579872,17.11375187597778
ABBV,AbbVie,Health Care,56.2,4.12,17.96,3.13,2.45,45.45,71.6,90.55,9.47,3.87,22.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV,-12.276518030720114,1.4153224937940958
ACN,Accenture plc,Information Technology,100.91,2.19,21.26,4.75,9.43,86.4,109.86,63.36,5.2,2.01,10.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN,9.126670062511849,24.094450067652478
ATVI,Activision Blizzard,Information Technology,32.32,0.82,27.16,1.19,11.01,22.28,39.93,23.69,1.42,4.98,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI,-22.58470771401669,3.9505492197297154
ADBE,Adobe Systems Inc,Information Technology,86.68,0.0,69.9,1.24,14.06,71.27,96.42,43.2,1.24,8.67,5.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE,-2.733032015488361,21.95858249801618
ADT,ADT Corp,Industrials,40.29,2.2,23.67,1.7,17.58,24.22,42.88,6.66,1.82,1.85,2.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADT,-17.92908103645567,-17.497266830299065
AAP,Advance Auto Parts,Consumer Discretionary,150.08,0.16,23.45,6.4,33.59,131.59,201.24,11.0,1.22,1.13,4.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP,-13.188994141122693,-7.5261745934105475
AES,AES Corp,Utilities,9.97,4.49,11.84,0.84,5.29,8.22,14.02,6.71,3.86,0.43,1.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES,15.369472852109974,-16.47666980087795
AET,Aetna Inc,Health Care,109.4,0.94,16.14,6.78,45.51,92.42,134.4,38.15,5.43,0.62,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET,-11.667008056652891,8.015661737014902
AMG,Affiliated Managers Group Inc,Financials,130.3,,14.03,9.29,52.64,115.97,230.63,7.02,0.9682,2.8,2.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMG,25.765076881475142,19.57429011387273
AFL,AFLAC Inc,Financials,60.33,2.75,10.31,5.85,40.96,51.41,66.53,25.6,3.92,1.21,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL,13.392354775048362,1.7931851440052438
A,Agilent Technologies Inc,Health Care,37.63,1.21,27.29,1.38,12.33,33.12,43.59,12.34,0.8190000000000001,3.04,3.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A,16.168796074248238,16.53567268433633
GAS,AGL Resources Inc.,Utilities,65.14,3.27,22.16,2.94,32.64,46.36,65.16,7.84,1.2,1.98,1.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GAS,-32.18627748443395,-18.279647524034978
APD,Air Products & Chemicals Inc,Materials,132.99,2.44,21.98,6.05,34.16,114.64,158.2,28.68,2.91,2.93,3.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD,13.83790279987742,-1.6671308325652172
ARG,Airgas Inc,Materials,141.76,1.7,30.55,4.64,27.33,86.09,141.79,10.27,0.96572,1.93,5.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARG,-7.789851699234528,-7.330855073510777
AKAM,Akamai Technologies Inc,Information Technology,54.96,,30.88,1.78,17.63,39.43,78.44,9.73,0.7528600000000001,4.41,3.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM,-12.827119369189848,4.594066394429598
AA,Alcoa Inc,Materials,8.87,1.35,,-0.31,9.15,6.14,15.32,11.62,3.25,0.51,0.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AA,4.484379602776771,-21.784000103996455
ALXN,Alexion Pharmaceuticals,Health Care,140.54,,209.76,0.67,36.6,130.51,208.88,31.66,0.86215,12.28,3.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN,-10.387029616216806,2.6279122296931168
ALLE,Allegion,Industrials,63.8,0.82,40.23,1.59,0.31,52.95,68.08,6.12,0.4118,2.91,202.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE,13.512263529833536,25.64975732769661
