x	y
493.77006965	-159.662374387
-607.01112944	-180.081606504
1881.09688327	1966.37630614
399.1148115	-331.084410325
-307.851312472	200.849963045
-850.745493618	334.7632735
1005.65917032	-305.617067534
394.126437486	-422.131544777
583.819206016	381.222786072
-826.524407051	419.1023864
523.889427892	-438.396542114
125.41978467	-94.6415208461
-790.19079732	25.6376305487
-411.056023684	-39.0020427032
877.330116293	-117.482640094
-632.046956885	237.034326221
240.78911815	-192.150529236
388.485731265	-29.5700577007
407.533490626	-117.877096815
-954.387761828	60.9045895476
641.008044668	20.3278747317
-191.399962503	418.412709445
186.660871485	-281.438400811
-795.033610653	502.647010444
188.780793866	-383.178534553
1066.92643255	38.7182785776
237.900103957	96.4513694685
-852.993976723	199.36653152
-698.300919753	439.372531196
-1016.25551833	329.513203019
52.7282680468	-32.5281064309
319.025351613	168.74007172
269.297658872	-675.991421062
336.184293422	-496.788971094
456.053291953	-246.754195963
-785.241178102	270.796955294
-175.894218169	339.599223841
-663.844242474	-293.432512568
-713.653092112	-155.711093247
-364.680205607	-123.033478085
928.794068359	222.420941016
-738.656517447	113.007053176
-747.913374017	362.089229399
-896.567230854	-100.610305613
-695.054426108	547.205674947
-506.053629025	11.0681991521
138.827307927	49.7090226964
322.667405529	-156.852585985
144.841151625	-188.636797122
381.384048339	-598.338691649
-441.778903017	194.196933095
289.381205256	-381.887346824
964.197241952	-25.6020417827
766.068298909	-94.7465481561
969.091793447	75.8416278536
402.952625024	78.6064036275
-990.713848753	210.882022611
-408.322047216	85.1932512835
1013.20303942	-115.583698593
873.848008574	97.0934378744
-619.422110504	132.995812841
643.907133414	-164.756049217
-907.366166355	510.834568263
635.420861411	-73.7448872808
143.480204352	-500.110450044
368.242012755	-230.326537671
117.820214582	-686.954571991
269.9868547	-568.329195389
42.9154757031	-186.187910309
285.532481482	-277.991647498
243.458017702	-461.540305723
854.780545413	304.317915854
-433.322154209	-232.734358
-477.126211388	-124.983942012
217.851651162	-5.41538278111
-547.702924922	-279.776592185
-846.043317873	102.798595788
-522.877081516	118.554330043
-1007.44242989	454.64948774
-583.845888369	464.373769308
-586.854118564	348.239616892
-732.172440381	200.928698097
-534.297995275	228.114091498
-664.653680338	27.7407303948
-688.074410218	302.837025497
-472.253258471	360.930568287
535.2611708	-316.188111602
299.159783266	-73.4820875161
-819.964808628	620.097664571
795.257262868	-357.66495628
-923.510377293	394.385293919
-565.096458877	-73.579620532
78.1874478949	-409.496909822
1035.00817764	156.763401921
216.537092102	-103.007962127
178.965104446	-601.421506998
860.310641147	-18.5762697364
311.238296915	27.8615369539
-921.131830013	278.812053374
498.276754038	15.1210159769
-311.938775434	-850.585083531
977.003341456	-459.968008598
708.525146157	244.379594128
725.367852838	321.096736047
913.918145504	-277.348815433
