	id	name	party	state	x	y
0	S057	Leahy (D-VT)	D	VT	493.77006964999998	-159.662374387
1	S118	Hatch (R-UT)	R	UT	-607.01112943999999	-180.08160650400001
2	S127	Baucus (D-MT)	D	MT	1881.09688327	1966.37630614
3	S131	Levin (D-MI)	D	MI	399.11481150000003	-331.08441032500002
4	S136	Cochran (R-MS)	R	MS	-307.85131247200002	200.84996304500001
5	S153	Grassley (R-IA)	R	IA	-850.74549361800007	334.76327349999997
6	S166	Lautenberg (D-NJ)	D	NJ	1005.65917032	-305.617067534
7	S172	Harkin (D-IA)	D	IA	394.12643748599999	-422.13154477699999
8	S173	Kerry (D-MA)	D	MA	583.81920601599995	381.22278607199996
9	S174	McConnell (R-KY)	R	KY	-826.52440705100003	419.10238639999994
10	S176	Rockefeller (D-WV)	D	WV	523.88942789199996	-438.396542114
11	S182	Mikulski (D-MD)	D	MD	125.41978467	-94.641520846100008
12	S184	Shelby (R-AL)	R	AL	-790.19079732	25.637630548699999
13	S197	McCain (R-AZ)	R	AZ	-411.05602368400002	-39.002042703200004
14	S198	Reid (D-NV)	D	NV	877.33011629300006	-117.48264009399999
15	S212	Coats (R-IN)	R	IN	-632.04695688499999	237.03432622099999
16	S221	Feinstein (D-CA)	D	CA	240.78911815000001	-192.15052923599998
17	S223	Boxer (D-CA)	D	CA	388.48573126500003	-29.570057700700001
18	S229	Murray (D-WA)	D	WA	407.533490626	-117.877096815
19	S236	Inhofe (R-OK)	R	OK	-954.38776182800007	60.904589547600004
20	S247	Wyden (D-OR)	D	OR	641.00804466800003	20.3278747317
21	S252	Collins (R-ME)	R	ME	-191.39996250299998	418.41270944500002
22	S253	Durbin (D-IL)	D	IL	186.660871485	-281.43840081100001
23	S254	Enzi (R-WY)	R	WY	-795.03361065299998	502.64701044399999
24	S257	Johnson (D-SD)	D	SD	188.78079386599998	-383.17853455300002
25	S258	Landrieu (D-LA)	D	LA	1066.9264325500001	38.718278577600003
26	S259	Reed (D-RI)	D	RI	237.900103957	96.451369468500005
27	S260	Roberts (R-KS)	R	KS	-852.99397672300006	199.36653152
28	S261	Sessions (R-AL)	R	AL	-698.30091975300002	439.37253119600001
29	S266	Crapo (R-ID)	R	ID	-1016.25551833	329.513203019
30	S270	Schumer (D-NY)	D	NY	52.728268046800004	-32.528106430900003
31	S275	Cantwell (D-WA)	D	WA	319.025351613	168.74007172
32	S277	Carper (D-DE)	D	DE	269.297658872	-675.99142106199997
33	S282	Nelson (D-FL)	D	FL	336.184293422	-496.78897109400003
34	S284	Stabenow (D-MI)	D	MI	456.05329195300004	-246.754195963
