	id
0	A000009
1	A000031
2	A000052
3	A000069
4	A000103
5	A000118
6	A000170
7	A000177
8	A000189
9	A000195
10	A000207
11	A000208
12	A000212
13	A000214
14	A000215
15	A000219
16	A000221
17	A000222
18	A000224
19	A000337
20	B000024
21	B000025
22	B000029
23	B000083
24	B000153
25	B000243
26	B000244
27	B000279
28	B000280
29	B000298
30	B000318
31	B000363
32	B000371
33	B000408
34	B000431
35	B000432
36	B000472
37	B000538
38	B000567
39	B000592
40	B000600
41	B000605
42	B000619
43	B000620
44	B000682
45	B000736
46	B000780
47	B000788
48	B000839
49	B000862
50	B000880
51	B000890
52	B000910
53	B000917
54	B000918
55	B000966
56	B001008
57	B001080
58	B001091
59	B001092
60	B001102
61	B001111
62	B001113
63	B001153
64	B001156
65	B001182
66	B001221
67	C000137
68	C000164
69	C000178
70	C000201
71	C000261
72	C000263
73	C000321
74	C000371
75	C000475
76	C000476
77	C000488
78	C000512
79	C000567
80	C000598
81	C000618
82	C000634
83	C000638
84	C000666
85	C000709
86	C000714
87	C000773
88	C000780
89	C000782
90	C000787
91	C000799
92	C000807
93	C000873
94	C000992
95	D000017
96	D000037
97	D000038
98	D000043
99	D000125
100	D000203
101	D000211
102	D000222
103	D000255
104	D000267
105	D000269
106	D000279
107	D000326
108	D000327
109	D000344
110	D000355
111	D000388
112	D000435
113	D000471
114	D000499
115	D000534
116	D000537
117	E000013
118	E000035
119	E000043
120	E000064
121	E000077
122	E000084
123	E000096
124	E000175
125	E000184
126	E000204
127	E000208
128	E000233
129	E000239
130	E000240
131	E000258
132	F000040
133	F000041
134	F000078
135	F000123
136	F000141
137	F000151
138	F000161
139	F000208
140	F000209
141	F000215
142	F000218
143	F000229
144	F000239
145	F000261
146	F000270
147	F000286
148	F000319
149	F000329
150	F000350
151	F000380
152	F000381
153	F000430
154	G000036
155	G000047
156	G000105
157	G000132
158	G000151
159	G000153
160	G000212
161	G000226
162	G000240
163	G000268
164	G000272
165	G000291
166	G000321
167	G000349
168	G000386
169	G000417
170	G000515
171	G000537
172	H000012
173	H000070
174	H000114
175	H000124
176	H000158
177	H000166
178	H000171
179	H000206
180	H000230
181	H000241
182	H000281
183	H000367
184	H000440
185	H000448
186	H000449
187	H000582
188	H000624
189	H000719
190	H000722
191	H000747
192	H000752
193	H000797
194	H000840
195	H000878
196	H000901
197	H000930
198	H001022
199	I000001
200	I000029
201	J000033
202	J000072
203	J000083
204	J000099
205	J000135
206	J000148
207	J000216
208	J000232
209	J000256
210	J000266
211	K000019
212	K000020
213	K000025
214	K000077
215	K000086
216	K000153
217	K000162
218	K000172
219	K000190
220	K000302
221	K000319
222	K000325
223	K000333
224	L000020
225	L000116
226	L000169
227	L000187
228	L000221
229	L000226
230	L000243
231	L000265
232	L000371
233	L000379
234	L000381
235	L000413
236	L000417
237	L000447
238	L000506
239	L000508
240	L000516
241	L000556
242	L000561
243	M000041
244	M000058
245	M000065
246	M000105
247	M000133
248	M000136
249	M000139
250	M000143
251	M000183
252	M000244
253	M000260
254	M000291
255	M000340
256	M000343
257	M000365
258	M000399
259	M000413
260	M000433
261	M000436
262	M000473
263	M000490
264	M000527
265	M000626
266	M000675
267	M000685
268	M000692
269	M000702
270	M000703
271	M000708
272	M000718
273	M000725
274	M000794
275	M000796
276	M000808
277	M000826
278	M000834
279	M000839
280	M000845
281	M000865
282	M000923
283	M000926
284	M000930
285	M001035
286	M001044
287	M001088
288	M001098
289	M001101
290	M001120
291	M001128
292	M001130
293	M001132
294	N000009
295	N000016
296	N000019
297	N000095
298	N000113
299	N000127
300	N000163
301	O000001
302	O000006
303	O000007
304	O000010
305	O000098
306	O000134
307	P000047
308	P000106
309	P000121
310	P000134
311	P000170
312	P000218
313	P000230
314	P000273
315	P000328
316	P000348
317	P000398
318	P000513
319	P000520
320	P000522
321	P000546
322	P000574
323	Q000007
324	Q000010
325	Q000013
326	R000011
327	R000012
328	R000053
329	R000141
330	R000165
331	R000188
332	R000232
333	R000262
334	R000268
335	R000312
336	R000337
337	R000374
338	R000383
339	R000401
340	R000421
341	R000423
342	R000436
343	R000442
344	R000458
345	R000469
346	R000485
347	R000495
348	R000510
349	R000512
350	R000543
351	R000558
352	S000058
353	S000062
354	S000070
355	S000087
356	S000124
357	S000142
358	S000146
359	S000217
360	S000230
361	S000294
362	S000367
363	S000394
364	S000406
365	S000423
366	S000454
367	S000465
368	S000472
369	S000473
370	S000596
371	S000622
372	S000669
373	S000673
374	S000716
375	S000718
376	S000762
377	S000778
378	S000795
379	S000804
380	S000810
381	S000829
382	S000844
383	S000847
384	S000935
385	S000948
386	S000997
387	S001040
388	S001044
389	S001138
390	T000075
391	T000110
392	T000200
393	T000234
394	T000243
395	T000310
396	T000356
397	T000362
398	T000367
399	T000393
400	T000400
401	U000001
402	U000004
403	V000024
404	V000027
405	V000047
406	V000087
407	V000112
408	W000018
409	W000044
410	W000068
411	W000107
412	W000121
413	W000194
414	W000215
415	W000227
416	W000258
417	W000317
418	W000390
419	W000406
420	W000419
421	W000428
422	W000448
423	W000570
424	W000571
425	W000610
426	W000636
427	W000647
428	W000680
429	W000763
430	W000780
431	W000781
432	Y000013
433	Y000014
434	Y000028
435	Y000031
436	Y000033
437	Y000043
438	Y000051
439	Z000001
440	Z000002
