congress	year	vote_name	vote_id	id	name	party	state	value	value_quant
113	2013	s1	s1-113.2013	S289	Alexander (R-TN)	R	TN	Yea	0
113	2013	s1	s1-113.2013	S340	Ayotte (R-NH)	R	NH	Yea	0
113	2013	s1	s1-113.2013	S354	Baldwin (D-WI)	D	WI	Yea	0
113	2013	s1	s1-113.2013	S317	Barrasso (R-WY)	R	WY	Yea	0
113	2013	s1	s1-113.2013	S127	Baucus (D-MT)	D	MT	Yea	0
113	2013	s1	s1-113.2013	S319	Begich (D-AK)	D	AK	Yea	0
113	2013	s1	s1-113.2013	S330	Bennet (D-CO)	D	CO	Yea	0
113	2013	s1	s1-113.2013	S341	Blumenthal (D-CT)	D	CT	Yea	0
113	2013	s1	s1-113.2013	S342	Blunt (R-MO)	R	MO	Yea	0
113	2013	s1	s1-113.2013	S343	Boozman (R-AR)	R	AR	Yea	0
113	2013	s1	s1-113.2013	S223	Boxer (D-CA)	D	CA	Yea	0
113	2013	s1	s1-113.2013	S307	Brown (D-OH)	D	OH	Yea	0
113	2013	s1	s1-113.2013	S275	Cantwell (D-WA)	D	WA	Yea	0
113	2013	s1	s1-113.2013	S308	Cardin (D-MD)	D	MD	Yea	0
113	2013	s1	s1-113.2013	S277	Carper (D-DE)	D	DE	Yea	0
113	2013	s1	s1-113.2013	S309	Casey (D-PA)	D	PA	Yea	0
113	2013	s1	s1-113.2013	S136	Cochran (R-MS)	R	MS	Yea	0
113	2013	s1	s1-113.2013	S252	Collins (R-ME)	R	ME	Yea	0
113	2013	s1	s1-113.2013	S337	Coons (D-DE)	D	DE	Yea	0
113	2013	s1	s1-113.2013	S310	Corker (R-TN)	R	TN	Yea	0
113	2013	s1	s1-113.2013	S287	Cornyn (R-TX)	R	TX	Yea	0
113	2013	s1	s1-113.2013	S356	Donnelly (D-IN)	D	IN	Yea	0
113	2013	s1	s1-113.2013	S253	Durbin (D-IL)	D	IL	Yea	0
113	2013	s1	s1-113.2013	S254	Enzi (R-WY)	R	WY	Yea	0
113	2013	s1	s1-113.2013	S221	Feinstein (D-CA)	D	CA	Yea	0
113	2013	s1	s1-113.2013	S357	Fischer (R-NE)	R	NE	Yea	0
113	2013	s1	s1-113.2013	S332	Franken (D-MN)	D	MN	Yea	0
113	2013	s1	s1-113.2013	S331	Gillibrand (D-NY)	D	NY	Yea	0
113	2013	s1	s1-113.2013	S153	Grassley (R-IA)	R	IA	Yea	0
113	2013	s1	s1-113.2013	S320	Hagan (D-NC)	D	NC	Yea	0
113	2013	s1	s1-113.2013	S172	Harkin (D-IA)	D	IA	Yea	0
113	2013	s1	s1-113.2013	S359	Heinrich (D-NM)	D	NM	Yea	0
113	2013	s1	s1-113.2013	S360	Heitkamp (D-ND)	D	ND	Yea	0
113	2013	s1	s1-113.2013	S361	Hirono (D-HI)	D	HI	Yea	0
113	2013	s1	s1-113.2013	S344	Hoeven (R-ND)	R	ND	Yea	0
113	2013	s1	s1-113.2013	S236	Inhofe (R-OK)	R	OK	Yea	0
113	2013	s1	s1-113.2013	S305	Isakson (R-GA)	R	GA	Yea	0
113	2013	s1	s1-113.2013	S321	Johanns (R-NE)	R	NE	Yea	0
113	2013	s1	s1-113.2013	S257	Johnson (D-SD)	D	SD	Yea	0
113	2013	s1	s1-113.2013	S362	Kaine (D-VA)	D	VA	Yea	0
113	2013	s1	s1-113.2013	S173	Kerry (D-MA)	D	MA	Yea	0
113	2013	s1	s1-113.2013	S363	King (I-ME)	I	ME	Yea	0
113	2013	s1	s1-113.2013	S339	Kirk (R-IL)	R	IL	Yea	0
113	2013	s1	s1-113.2013	S311	Klobuchar (D-MN)	D	MN	Yea	0
113	2013	s1	s1-113.2013	S166	Lautenberg (D-NJ)	D	NJ	Yea	0
113	2013	s1	s1-113.2013	S057	Leahy (D-VT)	D	VT	Yea	0
113	2013	s1	s1-113.2013	S131	Levin (D-MI)	D	MI	Yea	0
113	2013	s1	s1-113.2013	S338	Manchin (D-WV)	D	WV	Yea	0
113	2013	s1	s1-113.2013	S197	McCain (R-AZ)	R	AZ	Yea	0
113	2013	s1	s1-113.2013	S312	McCaskill (D-MO)	D	MO	Yea	0
113	2013	s1	s1-113.2013	S174	McConnell (R-KY)	R	KY	Yea	0
113	2013	s1	s1-113.2013	S306	Menendez (D-NJ)	D	NJ	Yea	0
113	2013	s1	s1-113.2013	S322	Merkley (D-OR)	D	OR	Yea	0
113	2013	s1	s1-113.2013	S182	Mikulski (D-MD)	D	MD	Yea	0
